mdate,coid,月營收(累計)
2020-03-01 00:00:00+00:00,2010M,4174.222
2020-03-01 00:00:00+00:00,2017,793.718
2020-03-01 00:00:00+00:00,2017M,793.718
2020-03-01 00:00:00+00:00,2025,265.126
2020-03-01 00:00:00+00:00,2025M,265.126
2020-03-01 00:00:00+00:00,2027,16216.918
2020-03-01 00:00:00+00:00,2032,745.061
2020-03-01 00:00:00+00:00,2032M,745.061
2020-03-01 00:00:00+00:00,2033,190.285
2020-03-01 00:00:00+00:00,2056M,675.574
2020-03-01 00:00:00+00:00,2059,1161.12
2020-03-01 00:00:00+00:00,2059M,1161.12
2020-03-01 00:00:00+00:00,2067,158.631
2020-03-01 00:00:00+00:00,2067M,158.631
2020-03-01 00:00:00+00:00,2069,1593.195
2020-03-01 00:00:00+00:00,2069M,1593.195
2020-03-01 00:00:00+00:00,2070,131.817
2020-03-01 00:00:00+00:00,2070M,131.817
2020-03-01 00:00:00+00:00,2071,362.784
2020-03-01 00:00:00+00:00,2071M,362.784
2020-03-01 00:00:00+00:00,2104M,4465.693
2020-03-01 00:00:00+00:00,2105,19585.259
2020-03-01 00:00:00+00:00,2105M,19585.259
2020-03-01 00:00:00+00:00,2114,389.221
2020-03-01 00:00:00+00:00,2114M,389.221
2020-03-01 00:00:00+00:00,2115,530.954
2020-03-01 00:00:00+00:00,2115M,530.954
2020-03-01 00:00:00+00:00,2208,5498.509
2020-03-01 00:00:00+00:00,2208M,5498.509
2020-03-01 00:00:00+00:00,2211,2433.127
2020-03-01 00:00:00+00:00,2211M,2433.127
2020-03-01 00:00:00+00:00,2221,271.21
2020-03-01 00:00:00+00:00,2221M,271.21
2020-03-01 00:00:00+00:00,2237,0.254
2020-03-01 00:00:00+00:00,2237M,0.254
2020-03-01 00:00:00+00:00,2239,3617.887
2020-03-01 00:00:00+00:00,2239M,3617.887
2020-03-01 00:00:00+00:00,2241,212.87
2020-03-01 00:00:00+00:00,2241M,212.87
2020-03-01 00:00:00+00:00,2303,42267.847
2020-03-01 00:00:00+00:00,2303M,42267.847
2020-03-01 00:00:00+00:00,2305,86.114
2020-03-01 00:00:00+00:00,2312,28176.304
2020-03-01 00:00:00+00:00,2312M,28176.304
2020-03-01 00:00:00+00:00,2317,929680.127
2020-03-01 00:00:00+00:00,2317M,929680.127
2020-03-01 00:00:00+00:00,2325,24303.532
2020-03-01 00:00:00+00:00,2325M,24303.532
2020-03-01 00:00:00+00:00,2330,310597.183
2020-03-01 00:00:00+00:00,2330M,310597.183
2020-03-01 00:00:00+00:00,2331,4114.562
2020-03-01 00:00:00+00:00,2338,1105.867
2020-03-01 00:00:00+00:00,2338M,1105.867
2020-03-01 00:00:00+00:00,2345M,11724.252
2020-03-01 00:00:00+00:00,2347,68151.374
2020-03-01 00:00:00+00:00,2352,39200.167
2020-03-01 00:00:00+00:00,2352M,39200.167
2020-03-01 00:00:00+00:00,2353,48854.503
2020-03-01 00:00:00+00:00,0009A0,1897.964
2020-03-01 00:00:00+00:00,0009A0M,1897.964
2020-03-01 00:00:00+00:00,1104,1253.758
2020-03-01 00:00:00+00:00,1104M,1253.758
2020-03-01 00:00:00+00:00,1201,3974.342
2020-03-01 00:00:00+00:00,1201M,3974.342
2020-03-01 00:00:00+00:00,1203,1675.725
2020-03-01 00:00:00+00:00,1213M,80.066
2020-03-01 00:00:00+00:00,1215,5241.193
2020-03-01 00:00:00+00:00,1215M,5241.193
2020-03-01 00:00:00+00:00,1220,601.91
2020-03-01 00:00:00+00:00,1220M,601.91
2020-03-01 00:00:00+00:00,1231,2098.046
2020-03-01 00:00:00+00:00,1231M,2098.046
2020-03-01 00:00:00+00:00,1240,547.103
2020-03-01 00:00:00+00:00,1240M,547.103
2020-03-01 00:00:00+00:00,1256,365.99
2020-03-01 00:00:00+00:00,1256M,365.99
2020-03-01 00:00:00+00:00,1258,721.19
2020-03-01 00:00:00+00:00,1303,65557.509
2020-03-01 00:00:00+00:00,1303M,65557.509
2020-03-01 00:00:00+00:00,1308,1314.054
2020-03-01 00:00:00+00:00,1308M,1314.054
2020-03-01 00:00:00+00:00,1309,2958.353
2020-03-01 00:00:00+00:00,1314,5301.075
2020-03-01 00:00:00+00:00,1314M,5301.075
2020-03-01 00:00:00+00:00,1324,282.887
2020-03-01 00:00:00+00:00,1324M,282.887
2020-03-01 00:00:00+00:00,1338M,1062.782
2020-03-01 00:00:00+00:00,1339,497.444
2020-03-01 00:00:00+00:00,1339M,497.444
2020-03-01 00:00:00+00:00,1340,94.371
2020-03-01 00:00:00+00:00,1340M,94.371
2020-03-01 00:00:00+00:00,1341,711.559
2020-03-01 00:00:00+00:00,1341M,711.559
2020-03-01 00:00:00+00:00,1342,399.645
2020-03-01 00:00:00+00:00,1342M,399.645
2020-03-01 00:00:00+00:00,1410,97.263
2020-03-01 00:00:00+00:00,1410M,97.263
2020-03-01 00:00:00+00:00,1418,34.054
2020-03-01 00:00:00+00:00,1418M,34.054
2020-03-01 00:00:00+00:00,1435M,3.737
2020-03-01 00:00:00+00:00,1436,390.905
2020-03-01 00:00:00+00:00,1440,5037.884
2020-03-01 00:00:00+00:00,1440M,5037.884
2020-03-01 00:00:00+00:00,1445M,317.696
2020-03-01 00:00:00+00:00,1446,126.521
2020-03-01 00:00:00+00:00,1446M,126.521
2020-03-01 00:00:00+00:00,1452M,373.345
2020-03-01 00:00:00+00:00,1453,20.493
2020-03-01 00:00:00+00:00,1453M,20.493
2020-03-01 00:00:00+00:00,1459,561.247
2020-03-01 00:00:00+00:00,1459M,561.247
2020-03-01 00:00:00+00:00,1466,785.975
2020-03-01 00:00:00+00:00,1466M,785.975
2020-03-01 00:00:00+00:00,1467,1207.281
2020-03-01 00:00:00+00:00,1467M,1207.281
2020-03-01 00:00:00+00:00,1472M,65.293
2020-03-01 00:00:00+00:00,1473,1980.954
2020-03-01 00:00:00+00:00,1473M,1980.954
2020-03-01 00:00:00+00:00,1503,6419.763
2020-03-01 00:00:00+00:00,1503M,6419.763
2020-03-01 00:00:00+00:00,1512,328.609
2020-03-01 00:00:00+00:00,1512M,328.609
2020-03-01 00:00:00+00:00,1513,3043.164
2020-03-01 00:00:00+00:00,1519,1676.712
2020-03-01 00:00:00+00:00,1519M,1676.712
2020-03-01 00:00:00+00:00,1528,838.826
2020-03-01 00:00:00+00:00,1528M,838.826
2020-03-01 00:00:00+00:00,1529,172.257
2020-03-01 00:00:00+00:00,1535,2018.18
2020-03-01 00:00:00+00:00,1535M,2018.18
2020-03-01 00:00:00+00:00,1536,1407.893
2020-03-01 00:00:00+00:00,1541M,1113.113
2020-03-01 00:00:00+00:00,1557,1007.357
2020-03-01 00:00:00+00:00,1557M,1007.357
2020-03-01 00:00:00+00:00,1568,401.222
2020-03-01 00:00:00+00:00,1568M,401.222
2020-03-01 00:00:00+00:00,1569,936.019
2020-03-01 00:00:00+00:00,1569M,936.019
2020-03-01 00:00:00+00:00,1585,31.857
2020-03-01 00:00:00+00:00,1585M,31.857
2020-03-01 00:00:00+00:00,1586,418.813
2020-03-01 00:00:00+00:00,1586M,418.813
2020-03-01 00:00:00+00:00,1597,290.49
2020-03-01 00:00:00+00:00,1597M,290.49
2020-03-01 00:00:00+00:00,1598,1603.607
2020-03-01 00:00:00+00:00,1598M,1603.607
2020-03-01 00:00:00+00:00,1599,532.113
2020-03-01 00:00:00+00:00,1604,1808.221
2020-03-01 00:00:00+00:00,1604M,1808.221
2020-03-01 00:00:00+00:00,1609M,4336.897
2020-03-01 00:00:00+00:00,1611,563.642
2020-03-01 00:00:00+00:00,1611M,563.642
2020-03-01 00:00:00+00:00,1615,556.777
2020-03-01 00:00:00+00:00,1615M,556.777
2020-03-01 00:00:00+00:00,1701M,2105.677
2020-03-01 00:00:00+00:00,1702,3592.558
2020-03-01 00:00:00+00:00,1702M,3592.558
2020-03-01 00:00:00+00:00,1709M,2357.729
2020-03-01 00:00:00+00:00,1710,4311.769
2020-03-01 00:00:00+00:00,1710M,4311.769
2020-03-01 00:00:00+00:00,1716,1405.373
2020-03-01 00:00:00+00:00,1722,3027.158
2020-03-01 00:00:00+00:00,1722M,3027.158
2020-03-01 00:00:00+00:00,1723,1599.177
2020-03-01 00:00:00+00:00,1730,668.921
2020-03-01 00:00:00+00:00,1730M,668.921
2020-03-01 00:00:00+00:00,1735M,531.224
2020-03-01 00:00:00+00:00,1736,5006.128
2020-03-01 00:00:00+00:00,1736M,5006.128
2020-03-01 00:00:00+00:00,1762,307.44
2020-03-01 00:00:00+00:00,1762M,307.44
2020-03-01 00:00:00+00:00,1773,1978.37
2020-03-01 00:00:00+00:00,1773M,1978.37
